       ASCII-code

dec   hex    bin        char
 84    54    001010100    'T'
 85    55    001010101    'U'
 86    56    001010110    'V'
 87    57    001010111    'W'
 88    58    001011000    'X'
 89    59    001011001    'Y'
 90    5A    001011010    'Z'
 91    5B    001011011    '['
 92    5C    001011100    '\'
 93    5D    001011101    ']'
 94    5E    001011110    '^'
 95    5F    001011111    '_'
 96    60    001100000    '`'
 97    61    001100001    'a'
 98    62    001100010    'b'
 99    63    001100011    'c'
100    64    001100100    'd'
101    65    001100101    'e'
102    66    001100110    'f'
103    67    001100111    'g'
104    68    001101000    'h'
105    69    001101001    'i'
106    6A    001101010    'j'
107    6B    001101011    'k'
108    6C    001101100    'l'
109    6D    001101101    'm'
110    6E    001101110    'n'
111    6F    001101111    'o'
112    70    001110000    'p'
113    71    001110001    'q'
114    72    001110010    'r'
115    73    001110011    's'
116    74    001110100    't'
117    75    001110101    'u'
118    76    001110110    'v'
119    77    001110111    'w'
120    78    001111000    'x'
121    79    001111001    'y'
122    7A    001111010    'z'
123    7B    001111011    '{'
124    7C    001111100    '|'
125    7D    001111101    '}'
126    7E    001111110    '~'
127    7F    001111111    '⌂'
128    80    010000000    'Ç'
129    81    010000001    'ü'
130    82    010000010    'é'
131    83    010000011    'â'
132    84    010000100    'ä'
133    85    010000101    'à'
134    86    010000110    'å'
135    87    010000111    'ç'
136    88    010001000    'ê'
137    89    010001001    'ë'
138    8A    010001010    'è'
139    8B    010001011    'ï'
140    8C    010001100    'î'
141    8D    010001101    'ì'
142    8E    010001110    'Ä'
143    8F    010001111    'Å'
144    90    010010000    'É'
145    91    010010001    'æ'
146    92    010010010    'Æ'
147    93    010010011    'ô'
148    94    010010100    'ö'
149    95    010010101    'ò'
150    96    010010110    'û'
151    97    010010111    'ù'
152    98    010011000    'ÿ'
153    99    010011001    'Ö'
154    9A    010011010    'Ü'
155    9B    010011011    'ø'
156    9C    010011100    '£'
157    9D    010011101    'Ø'
158    9E    010011110    '×'
159    9F    010011111    'ƒ'
160    A0    010100000    'á'
161    A1    010100001    'í'
162    A2    010100010    'ó'
163    A3    010100011    'ú'
164    A4    010100100    'ñ'
165    A5    010100101    'Ñ'
166    A6    010100110    'ª'
167    A7    010100111    'º'
168    A8    010101000    '¿'
169    A9    010101001    '®'
170    AA    010101010    '¬'
171    AB    010101011    '½'
172    AC    010101100    '¼'
173    AD    010101101    '¡'
174    AE    010101110    '«'
175    AF    010101111    '»'
176    B0    010110000    '░'
177    B1    010110001    '▒'
178    B2    010110010    '▓'
179    B3    010110011    '│'
180    B4    010110100    '┤'
181    B5    010110101    'Á'
182    B6    010110110    'Â'
183    B7    010110111    'À'
184    B8    010111000    '©'
185    B9    010111001    '╣'
186    BA    010111010    '║'
187    BB    010111011    '╗'
188    BC    010111100    '╝'
189    BD    010111101    '¢'
190    BE    010111110    '¥'
191    BF    010111111    '┐'
192    C0    011000000    '└'
193    C1    011000001    '┴'
194    C2    011000010    '┬'
195    C3    011000011    '├'
196    C4    011000100    '─'
197    C5    011000101    '┼'
198    C6    011000110    'ã'
199    C7    011000111    'Ã'
200    C8    011001000    '╚'
201    C9    011001001    '╔'
202    CA    011001010    '╩'
203    CB    011001011    '╦'
204    CC    011001100    '╠'
205    CD    011001101    '═'
206    CE    011001110    '╬'
207    CF    011001111    '¤'
208    D0    011010000    'ð'
209    D1    011010001    'Ð'
210    D2    011010010    'Ê'
211    D3    011010011    'Ë'
212    D4    011010100    'È'
213    D5    011010101    'ı'
214    D6    011010110    'Í'
215    D7    011010111    'Î'
216    D8    011011000    'Ï'
217    D9    011011001    '┘'
218    DA    011011010    '┌'
219    DB    011011011    '█'
220    DC    011011100    '▄'
221    DD    011011101    '¦'
222    DE    011011110    'Ì'
223    DF    011011111    '▀'
224    E0    011100000    'Ó'
225    E1    011100001    'ß'
226    E2    011100010    'Ô'
227    E3    011100011    'Ò'
228    E4    011100100    'õ'
229    E5    011100101    'Õ'
230    E6    011100110    'µ'
231    E7    011100111    'þ'
232    E8    011101000    'Þ'
233    E9    011101001    'Ú'
234    EA    011101010    'Û'
235    EB    011101011    'Ù'
236    EC    011101100    'ý'
237    ED    011101101    'Ý'
238    EE    011101110    '¯'
239    EF    011101111    '´'
240    F0    011110000    '­'
241    F1    011110001    '±'
242    F2    011110010    '‗'
243    F3    011110011    '¾'
244    F4    011110100    '¶'
245    F5    011110101    '§'
246    F6    011110110    '÷'
247    F7    011110111    '¸'
248    F8    011111000    '°'
249    F9    011111001    '¨'
250    FA    011111010    '·'
251    FB    011111011    '¹'
252    FC    011111100    '³'
253    FD    011111101    '²'
254    FE    011111110    '■'
255    FF    011111111    ' '

Enter a text input: hilary

The text is: 'hilary'
The length of the text is:6
104      68     001101000       'h'
105      69     001101001       'i'
108      6C     001101100       'l'
97       61     001100001       'a'
114      72     001110010       'r'
121      79     001111001       'y'

please enter a character:107     6B     001101011       'k'

please enter a character:100     64     001100100       'd'

please enter a character:119     77     001110111       'w'

please enter a character:101     65     001100101       'e'

please enter a character:102     66     001100110       'f'

please enter a character:115     73     001110011       's'

please enter a character:46      2E     000101110       '.'

C:\Users\emman\source\repos\ascii\Debug\ascii.exe (process 15212) exited with code 0.
Press any key to close this window . . .
